[cyd_i];[CYD_I];false;false;false;intcust;cubic yard;cu.yd;volume;[yd_i]3;[YD_I]3;1;;
[bf_i];[BF_I];false;false;false;intcust;board foot;;volume;[in_i]3;[IN_I]3;144;;
[cr_i];[CR_I];false;false;false;intcust;cord;;volume;[ft_i]3;[FT_I]3;128;;
[mil_i];[MIL_I];false;false;false;intcust;mil;mil;length;[in_i];[IN_I];1e-3;;
[cml_i];[CML_I];false;false;false;intcust;circular mil;circ.mil;area;[pi]/4.[mil_i]2;[PI]/4.[MIL_I]2;1;;
[hd_i];[HD_I];false;false;false;intcust;hand;hd;height of horses;[in_i];[IN_I];4;;
[ft_us];[FT_US];false;false;false;us-lengths;foot;ft<sub>us</sub>;length;m/3937;M/3937;1200;;
[yd_us];[YD_US];false;false;false;us-lengths;yard;;length;[ft_us];[FT_US];3;;
[in_us];[IN_US];false;false;false;us-lengths;inch;;length;[ft_us]/12;[FT_US]/12;1;;
[rd_us];[RD_US];false;false;false;us-lengths;rod;;length;[ft_us];[FT_US];16.5;;
[ch_us];[CH_US];false;false;false;us-lengths;Gunter's chain,Surveyor's chain;;length;[rd_us];[RD_US];4;;
[lk_us];[LK_US];false;false;false;us-lengths;link for Gunter's chain;;length;[ch_us]/100;[CH_US]/100;1;;
[rch_us];[RCH_US];false;false;false;us-lengths;Ramden's chain,Engineer's chain;;length;[ft_us];[FT_US];100;;
[rlk_us];[RLK_US];false;false;false;us-lengths;link for Ramden's chain;;length;[rch_us]/100;[RCH_US]/100;1;;
[fth_us];[FTH_US];false;false;false;us-lengths;fathom;;length;[ft_us];[FT_US];6;;
[fur_us];[FUR_US];false;false;false;us-lengths;furlong;;length;[rd_us];[RD_US];40;;
[mi_us];[MI_US];false;false;false;us-lengths;mile;;length;[fur_us];[FUR_US];8;;
[acr_us];[ACR_US];false;false;false;us-lengths;acre;;area;[rd_us]2;[RD_US]2;160;;
[srd_us];[SRD_US];false;false;false;us-lengths;square rod;;area;[rd_us]2;[RD_US]2;1;;
[smi_us];[SMI_US];false;false;false;us-lengths;square mile;;area;[mi_us]2;[MI_US]2;1;;
[sct];[SCT];false;false;false;us-lengths;section;;area;[mi_us]2;[MI_US]2;1;;
[twp];[TWP];false;false;false;us-lengths;township;;area;[sct];[SCT];36;;
[mil_us];[MIL_US];false;false;false;us-lengths;mil;;length;[in_us];[IN_US];1e-3;;
[in_br];[IN_BR];false;false;false;brit-length;inch;;length;cm;CM;2.539998;;
[ft_br];[FT_BR];false;false;false;brit-length;foot;;length;[in_br];[IN_BR];12;;
[rd_br];[RD_BR];false;false;false;brit-length;rod;;length;[ft_br];[FT_BR];16.5;;
[ch_br];[CH_BR];false;false;false;brit-length;Gunter's chain;;length;[rd_br];[RD_BR];4;;
[lk_br];[LK_BR];false;false;false;brit-length;link for Gunter's chain;;length;[ch_br]/100;[CH_BR]/100;1;;
[fth_br];[FTH_BR];false;false;false;brit-length;fathom;;length;[ft_br];[FT_BR];6;;
[pc_br];[PC_BR];false;false;false;brit-length;pace;;length;[ft_br];[FT_BR];2.5;;
[yd_br];[YD_BR];false;false;false;brit-length;yard;;length;[ft_br];[FT_BR];3;;
[mi_br];[MI_BR];false;false;false;brit-length;mile;;length;[ft_br];[FT_BR];5280;;
[nmi_br];[NMI_BR];false;false;false;brit-length;nautical mile;;length;[ft_br];[FT_BR];6080;;
[kn_br];[KN_BR];false;false;false;brit-length;knot;;velocity;[nmi_br]/h;[NMI_BR]/H;1;;
[acr_br];[ACR_BR];false;false;false;brit-length;acre;;area;[yd_br]2;[YD_BR]2;4840;;
[gal_us];[GAL_US];false;false;false;us-volumes;Queen Anne's wine gallon;;fluid volume;[in_i]3;[IN_I]3;231;;
[bbl_us];[BBL_US];false;false;false;us-volumes;barrel;;fluid volume;[gal_us];[GAL_US];42;;
[qt_us];[QT_US];false;false;false;us-volumes;quart;;fluid volume;[gal_us]/4;[GAL_US]/4;1;;
[pt_us];[PT_US];false;false;false;us-volumes;pint;;fluid volume;[qt_us]/2;[QT_US]/2;1;;
[gil_us];[GIL_US];false;false;false;us-volumes;gill;;fluid volume;[pt_us]/4;[PT_US]/4;1;;
